"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009952","anterior/posterior pattern specification","131/6581","220/18986",0.595454545454545,1.7178696246771,7.80052662621467,3.31802184193395e-14,2.11855694607482e-10,1.49276056341323e-10,"HOXC10/HOXC8/HOXA2/HOXA5/HOXD10/HOXD13/HOXC13/HOXA4/HOXA6/ABI1/ACVR2B/HOXC11/BMP2/HOXC9/ZIC3/LDB1/HOXA3/HOXC6/MEOX2/HES6/RIPPLY2/HOXB5/DLL1/HOXB8/WT1/HOXB4/AURKA/NKD1/SSBP3/HOXD9/NOG/HIPK2/HOXA7/ATM/HOXB3/TSHZ1/FEZF1/PBX1/BMP4/PCSK5/KAT2A/HOXB7/HOXB2/GATA4/MIB1/TCAP/HEY2/WNT3/NR2F2/HOXA10/BHLHE40/HOXB9/BMPR2/PCSK6/FZD5/BPTF/LEF1/EN1/MEOX1/OTX1/HOXA9/BARX1/TDRKH/TBX3/HOXC5/RING1/SMO/OTX2/HOXD4/HOXB6/CER1/ACVR2A/HES2/GDF11/NEUROG1/HOXC4/NEUROD1/PCGF2/AXIN2/BMPR1A/MED12/BMI1/HEY1/FEZF2/XRCC2/DLL3/HES5/RBPJ/SIX2/TMED2/MLLT3/NODAL/TDRD5/TDRD6/TBX6/WNT1/HES7/KDM2B/PBX3/BASP1/PPP2R3A/HES1/CRKL/CDON/FGF8/NOTCH1/CELSR2/HOXD8/HEYL/HES3/HHEX/CRB2/SOX17/ZBTB16/HOXA11/NRARP/EPB41L5/OFD1/FOXB1/POFUT1/HES4/DKK1/TAF10/EP300/FRS2/ATP6AP2/SFRP2/TGFBR1/FOXC1/BTG2/ETS2",131
"GO:0045785","positive regulation of cell adhesion","253/6581","499/18986",0.507014028056112,1.46272121815428,7.62938144221076,6.83769545214951e-14,2.18293427309873e-10,1.53812159802563e-10,"MDK/IGFBP2/EFEMP2/LGALS1/TSC1/DPP4/SAA1/EFNB2/VAV3/LAMC1/LDB1/PLAUR/ANXA1/CD70/PDPN/CD276/TNFSF14/S100A10/ARHGEF7/ZMIZ1/TFRC/SMARCC2/COL8A1/SMAD7/FERMT1/F11R/DUSP26/PRKCE/RUNX1/EMP2/NRP1/MYADM/VEGFA/SRC/NFKBIZ/IL7/ANGPT1/ATM/SART1/SOCS1/EGFLAM/EMILIN2/ITGA3/AZU1/CD160/IBSP/ITGA5/BRD7/LIF/FOXO3/RNASE10/ITGB3/PRKCQ/CD44/HLA-DMB/CCL5/NPNT/VTN/PRKCA/SKAP1/IL10/CHST2/CD40LG/NFAT5/PTPN11/SLC7A1/PDCD1LG2/GCNT1/IL15/LAMA2/ABL2/IL2RG/LAMB1/EMILIN1/ICOS/HLA-DRA/IL1A/RRAS/FCHO1/SLAMF1/MFSD2B/CHST4/TGFB2/KLHL25/CD274/DUSP10/CCR2/LEF1/CCL2/TNFRSF18/PNP/LIMS2/CD80/GATA3/SASH3/XCL1/KLRK1/PTPN23/IL2RA/FLOT2/ARID1B/ADAM9/STAT5B/PHF10/LCK/KAT5/FN1/MAP4K4/RIN2/CD5/ALOX5/RHOH/HLA-DMA/CD3E/FADD/TNFRSF14/LYN/ARPC2/CDC42/HLA-DOA/RHOD/TNFSF11/MYO10/PPP3CA/CCR7/HAVCR2/HLA-DPA1/P4HB/TNFSF4/SMARCA4/ADAM19/CD74/HTR2A/EPHA1/ACTL6B/B2M/CALR/SIRPG/FUT3/TJP1/OPA1/SPOCK2/LIMS1/PDPK1/EGFL6/IL18/BMI1/PRKCZ/ACTL6A/RUNX3/GPAM/PIK3R6/PYCARD/TMEM102/XBP1/CX3CL1/FBLN1/RAC3/HLA-DQB2/IL6/HLA-DPB1/CD86/NODAL/ITGA4/MMRN1/BCL10/ERBB2/CITED2/RAG1/ITGB2/CD6/FRMD5/VTCN1/HHLA2/NID1/CXCL13/DMP1/HES1/CRKL/TMIGD2/ILK/IL4I1/SFN/TESK1/ACTB/EPB41L4B/LILRB1/SDC4/TNFRSF13C/CHRD/CAV1/CYLD/GSK3B/SPN/PTPN6/LILRB2/HLA-A/PBRM1/CD36/CR1/HLA-DQA2/EFNB1/SMARCA2/HLA-DRB1/AIF1/BCL6/ZBTB16/CCDC88B/ABI3BP/FLNA/EPB41L5/KLHL22/VAV1/FUT4/BRD2/ECM2/SYK/TNFSF13B/SIRPB1/ABL1/PTPRC/ARID2/NCKAP1L/HLA-DQA1/EP300/BTN2A2/AP3D1/ITGA2/CDK6/SOX2/TGFB1/HAS2/PRKD2/DOCK1/SHB/LGALS9/SFRP2/CD4/LAMB2/ITGB1BP1/STK4/APBB1IP/ANK3/FBXO38/PODXL/RIPK2/SOX4/NCK1/HLA-E/RHOA/KIFAP3/DAG1/SIRPA",253
"GO:0007159","leukocyte cell-cell adhesion","221/6581","430/18986",0.513953488372093,1.48274136608913,7.37495581649025,4.57961419975208e-13,9.74694555513901e-10,6.86781441745277e-10,"LGALS3/MDK/IGFBP2/LGALS1/MSN/HFE/PLA2G5/DPP4/EFNB2/ANXA1/CD70/CD276/TNFSF14/ZMIZ1/TFRC/CASP3/SMARCC2/SMAD7/F11R/RUNX1/RC3H1/SRC/SLC39A8/NFKBIZ/IL7/SART1/SOCS1/FUT9/RAC2/DLG5/MIA3/CD160/GPNMB/ITGA5/BMP4/BRD7/PTPN22/FOXO3/PODXL2/PRKCQ/CD44/HLA-DMB/CCL5/SKAP1/IL10/CHST2/CD40LG/NFAT5/PTPN11/SLC7A1/PDCD1LG2/GCNT1/FOXJ1/IL15/TWSG1/ABL2/IL2RG/ICOS/HLA-DRA/IL1A/FCHO1/SLAMF1/CHST4/S100A9/KLHL25/CD274/DUSP10/CCR2/LEF1/CCL2/ICAM1/PNP/CDKN2A/PTPN2/CD80/GATA3/SASH3/S100A8/XCL1/KLRK1/IL2RA/FLOT2/ARID1B/STAT5B/PHF10/LCK/KAT5/CD300A/CD69/CD5/ALOX5/SCRIB/RHOH/LOXL3/HLA-DMA/CD3E/TNFAIP8L2/FADD/TNFRSF14/LYN/HLA-DOA/TNFSF11/PPP3CA/CCR7/HAVCR2/ITGB1/WNK1/JAK3/HLA-DPA1/TNFSF4/LAPTM5/VSIG4/SMARCA4/CD74/ASCL2/ACTL6B/ITGB7/B2M/PECAM1/SIRPG/OPA1/PDPK1/LGALS9C/IL18/BMI1/PRKCZ/ACTL6A/PPARA/RUNX3/ZDHHC21/GPAM/PIK3R6/ASS1/PYCARD/XBP1/HLA-DQB2/IDO1/PAG1/LRRC32/IL6/HLA-DPB1/CD86/CALCA/ITGA4/BCL10/ERBB2/RAG1/SEMA4D/OLR1/ITGB2/IRF1/CD6/VTCN1/HHLA2/MADCAM1/HES1/ADD2/TMIGD2/IL4I1/SFTPD/ACTB/LILRB1/FERMT3/GLMN/ZC3H12A/SDC4/TNFRSF13C/CAV1/CYLD/SPN/PTPN6/LILRB2/HLA-A/PBRM1/CR1/ARG1/HLA-DQA2/EFNB1/SMARCA2/HLA-DRB1/AIF1/BCL6/ZBTB16/CCDC88B/NRARP/KLHL22/LRG1/VAV1/FUT4/BRD2/SYK/PELI1/TNFSF13B/SIRPB1/ABL1/KLF4/PTPRC/ARID2/NCKAP1L/HLA-DQA1/EP300/BTN2A2/AP3D1/TGFB1/CEBPB/ITGAL/HAS2/NT5E/SHB/LGALS9/CD4/STAT5A/CBLB/TNFRSF21/FBXO38/RIPK2/SOX4/NCK1/HLA-E/RHOA/SIRPA",221
"GO:0050863","regulation of T cell activation","201/6581","393/18986",0.511450381679389,1.47551997364608,6.93814171135335,9.33692723439656e-12,1.49040700979055e-08,1.05015860525818e-08,"LGALS3/MDK/IGFBP2/LGALS1/HFE/PLA2G5/DPP4/EFNB2/ANXA1/CD70/CD276/TNFSF14/ZMIZ1/TFRC/CASP3/SMARCC2/SMAD7/RUNX1/RC3H1/SOS2/SRC/NFKBIZ/IL7/SART1/SOCS1/RAC2/MAPK8IP1/DLG5/CD160/GPNMB/BMP4/BRD7/PTPN22/FOXO3/KAT2A/PRKCQ/HLA-DMB/CCL5/IL10/CD40LG/PTPN11/SLC7A1/PDCD1LG2/FOXJ1/IL15/TWSG1/ZEB1/ABL2/IL2RG/ICOS/HLA-DRA/IL1A/FCHO1/SLAMF1/TCF7/KLHL25/CD274/DUSP10/CCR2/CD2/LEF1/CCL2/PNP/TOX/CDKN2A/PTPN2/CD80/GATA3/SOS1/SASH3/XCL1/KLRK1/IL2RA/FLOT2/ARID1B/STAT5B/PHF10/LCK/KAT5/CD300A/CD69/CD5/SCRIB/RHOH/LOXL3/HLA-DMA/CD3E/TNFAIP8L2/FADD/TNFRSF14/LYN/HLA-DOA/TNFSF11/SIT1/FANCA/PPP3CA/CCR7/HAVCR2/RIPK3/JAK3/HLA-DPA1/TNFSF4/LAPTM5/VSIG4/SMARCA4/CD74/ASCL2/ACTL6B/BATF/B2M/FANCD2/SIRPG/ZNF683/OPA1/PDPK1/LGALS9C/IL18/BMI1/PRKCZ/ACTL6A/RUNX3/GPAM/PIK3R6/PYCARD/XBP1/HLA-DQB2/IDO1/PAG1/LRRC32/IL6/HLA-DPB1/CD86/BCL10/ERBB2/TNFSF8/RAG1/IRF1/CD6/VTCN1/HHLA2/HES1/TNFRSF9/TMIGD2/IL4I1/SFTPD/ACTB/LILRB1/GLMN/ZC3H12A/SDC4/TNFRSF13C/CAV1/CYLD/SPN/PTPN6/LILRB2/HLA-A/PBRM1/CR1/ARG1/HLA-DQA2/EFNB1/SMARCA2/HLA-DRB1/AIF1/BCL6/ZBTB16/CCDC88B/NRARP/KLHL22/VAV1/BRD2/BID/SYK/PELI1/TNFSF13B/SIRPB1/ABL1/PTPRC/ARID2/NCKAP1L/HLA-DQA1/EP300/BTN2A2/AP3D1/TGFB1/CEBPB/SHB/LGALS9/CD4/STAT5A/CBLB/TNFRSF21/FBXO38/METTL3/RIPK2/SOX4/NCK1/HLA-E/RHOA/SIRPA",201
"GO:1903037","regulation of leukocyte cell-cell adhesion","200/6581","392/18986",0.510204081632653,1.47192443304628,6.87672955254591,1.39830997920593e-11,1.5278905822588e-08,1.07656997874527e-08,"LGALS3/MDK/IGFBP2/LGALS1/HFE/PLA2G5/DPP4/EFNB2/ANXA1/CD70/CD276/TNFSF14/ZMIZ1/TFRC/CASP3/SMARCC2/SMAD7/RUNX1/RC3H1/SRC/NFKBIZ/IL7/SART1/SOCS1/FUT9/DLG5/MIA3/CD160/GPNMB/BMP4/BRD7/PTPN22/FOXO3/PRKCQ/CD44/HLA-DMB/CCL5/SKAP1/IL10/CHST2/CD40LG/NFAT5/PTPN11/SLC7A1/PDCD1LG2/GCNT1/FOXJ1/IL15/TWSG1/ABL2/IL2RG/ICOS/HLA-DRA/IL1A/FCHO1/SLAMF1/CHST4/KLHL25/CD274/DUSP10/CCR2/LEF1/CCL2/PNP/CDKN2A/PTPN2/CD80/GATA3/SASH3/XCL1/KLRK1/IL2RA/FLOT2/ARID1B/STAT5B/PHF10/LCK/KAT5/CD300A/CD69/CD5/ALOX5/SCRIB/RHOH/LOXL3/HLA-DMA/CD3E/TNFAIP8L2/FADD/TNFRSF14/LYN/HLA-DOA/TNFSF11/PPP3CA/CCR7/HAVCR2/WNK1/JAK3/HLA-DPA1/TNFSF4/LAPTM5/VSIG4/SMARCA4/CD74/ASCL2/ACTL6B/B2M/SIRPG/OPA1/PDPK1/LGALS9C/IL18/BMI1/PRKCZ/ACTL6A/PPARA/RUNX3/ZDHHC21/GPAM/PIK3R6/ASS1/PYCARD/XBP1/HLA-DQB2/IDO1/PAG1/LRRC32/IL6/HLA-DPB1/CD86/ITGA4/BCL10/ERBB2/RAG1/ITGB2/IRF1/CD6/VTCN1/HHLA2/HES1/TMIGD2/IL4I1/SFTPD/ACTB/LILRB1/GLMN/ZC3H12A/SDC4/TNFRSF13C/CAV1/CYLD/SPN/PTPN6/LILRB2/HLA-A/PBRM1/CR1/ARG1/HLA-DQA2/EFNB1/SMARCA2/HLA-DRB1/AIF1/BCL6/ZBTB16/CCDC88B/NRARP/KLHL22/VAV1/FUT4/BRD2/SYK/PELI1/TNFSF13B/SIRPB1/ABL1/KLF4/PTPRC/ARID2/NCKAP1L/HLA-DQA1/EP300/BTN2A2/AP3D1/TGFB1/CEBPB/HAS2/SHB/LGALS9/CD4/STAT5A/CBLB/TNFRSF21/FBXO38/RIPK2/SOX4/NCK1/HLA-E/RHOA/SIRPA",200
"GO:0022409","positive regulation of cell-cell adhesion","176/6581","336/18986",0.523809523809524,1.51117575126084,6.8857829088287,1.43576248920169e-11,1.5278905822588e-08,1.07656997874527e-08,"MDK/IGFBP2/LGALS1/DPP4/EFNB2/PLAUR/ANXA1/CD70/PDPN/CD276/TNFSF14/ZMIZ1/TFRC/SMARCC2/SMAD7/F11R/RUNX1/SRC/NFKBIZ/IL7/SART1/SOCS1/EMILIN2/CD160/BRD7/FOXO3/RNASE10/PRKCQ/CD44/HLA-DMB/CCL5/SKAP1/IL10/CHST2/CD40LG/NFAT5/PTPN11/SLC7A1/PDCD1LG2/GCNT1/IL15/ABL2/IL2RG/EMILIN1/ICOS/HLA-DRA/IL1A/FCHO1/SLAMF1/MFSD2B/CHST4/KLHL25/CD274/DUSP10/CCR2/LEF1/CCL2/PNP/CD80/GATA3/SASH3/XCL1/KLRK1/PTPN23/IL2RA/FLOT2/ARID1B/STAT5B/PHF10/LCK/KAT5/CD5/ALOX5/RHOH/HLA-DMA/CD3E/FADD/TNFRSF14/LYN/HLA-DOA/TNFSF11/MYO10/PPP3CA/CCR7/HAVCR2/HLA-DPA1/TNFSF4/SMARCA4/ADAM19/CD74/HTR2A/ACTL6B/B2M/SIRPG/FUT3/TJP1/OPA1/PDPK1/IL18/BMI1/PRKCZ/ACTL6A/RUNX3/GPAM/PIK3R6/PYCARD/XBP1/CX3CL1/HLA-DQB2/IL6/HLA-DPB1/CD86/NODAL/ITGA4/MMRN1/BCL10/CITED2/RAG1/ITGB2/CD6/VTCN1/HHLA2/CXCL13/HES1/TMIGD2/IL4I1/ACTB/LILRB1/TNFRSF13C/CAV1/CYLD/SPN/PTPN6/LILRB2/HLA-A/PBRM1/CR1/HLA-DQA2/EFNB1/SMARCA2/HLA-DRB1/AIF1/BCL6/ZBTB16/CCDC88B/KLHL22/VAV1/FUT4/BRD2/SYK/TNFSF13B/SIRPB1/ABL1/PTPRC/ARID2/NCKAP1L/HLA-DQA1/EP300/BTN2A2/AP3D1/SOX2/TGFB1/HAS2/SHB/LGALS9/CD4/ANK3/FBXO38/PODXL/RIPK2/SOX4/NCK1/HLA-E/RHOA/KIFAP3/SIRPA",176
"GO:0007264","small GTPase-mediated signal transduction","240/6581","491/18986",0.488798370672098,1.41016955866592,6.70702407878357,3.7136174116306e-11,3.38734959618019e-08,2.38676704019687e-08,"CYTH1/RALGAPA1/TNK2/RALGPS1/DIRAS3/GBF1/OPHN1/TSC2/NET1/SPRY1/RAP2A/VAV3/SCAI/RHOJ/SPRY2/RAPGEF2/KSR1/BCR/ARHGAP32/PDPN/NISCH/ARHGAP18/ARHGEF7/DAB2IP/RAP2B/COL1A2/RUNDC3A/DENND4B/SWAP70/SRGAP3/F11R/FBP1/GARNL3/NRP1/NF1/CCNA2/DOCK3/RAB18/ARL3/TIAM1/RAPGEF3/SYNGAP1/SOS2/MET/MCF2L/RAPGEF4/ARFGAP1/DOCK10/SRC/GIT1/MADD/ARHGAP12/ECT2/IQGAP3/CCDC88A/RASL10A/RAC2/ARHGAP11A/PLEKHG3/SPRY4/RAB33B/ITGA3/FOXM1/MCF2/DOK6/RAB6C/FARP2/KSR2/RTKN/KIF14/DOK3/ARHGEF18/ARHGEF11/ARFGEF2/PLXNB1/LRP4/RHOC/ARHGEF9/ARHGAP21/ARHGAP28/RAP1B/SGSM3/WASF1/ARHGAP15/ELMO1/CDK2/ABL2/RAB38/MMD2/CHML/KBTBD6/RASGRF1/SYNPO2L/OGT/ARHGDIB/RRAS/SYDE1/COL3A1/DOK1/HACE1/RHEBL1/TGFB2/RELN/SIPA1L1/LZTR1/ARHGAP25/ARHGEF17/CDKN2A/KRAS/CCDC125/RAPGEFL1/SOS1/GPR55/NKIRAS1/EPS8L1/ARHGEF10L/RACGAP1/RAB33A/PIK3CB/RASGEF1C/ARHGAP5/PLEKHG1/MAP4K4/RIN2/TRIM67/RHOH/ARHGEF4/SHOC2/GDI1/ARHGAP22/DOCK9/SYDE2/STK19/CDC42/RHOD/FAM13A/ARHGAP31/CELSR1/NUCB1/ITGB1/ARHGAP29/PSD/ABR/ARHGAP39/RASA4/PSD2/ARHGAP33/ERAS/LIMK1/RALGDS/KANK1/SIAH2/NGFR/ARAP1/CTNNAL1/RALB/ABI2/RND1/KANK2/RHOT2/RHOB/CYTH4/SDCBP/RGS19/RAC3/PIK3CG/ARHGDIG/ARFGEF1/DOK2/DLC1/DENND4C/ERBB2/SEMA4D/GDI2/RND3/F2RL1/KBTBD7/BRAP/CRKL/CDON/NOTCH1/ARHGEF12/OBSCN/ITSN1/NRAS/DOK4/ARHGAP11B/STARD8/CDC42EP3/CBL/RTN4R/AIF1/BCL6/GRB2/RASGRP4/RRAGC/ARHGEF2/RGL3/VAV1/ADRA2A/DNMBP/RASIP1/GRAP/SSX2IP/EPS8L2/ABL1/ARRB1/APOE/RAB9B/ADCYAP1R1/FGD4/RAP1A/EPS8/ARHGAP20/ARHGAP9/TAX1BP3/RAPGEF1/RIT1/IQSEC2/ARHGAP19/RASGRF2/LPAR1/RASSF1/DOCK1/PLCE1/ALS2/ARHGEF3/MAPRE2/KNDC1/STAMBP/RHOU/RHOBTB2/KALRN/STMN3/PLK2/CADM4/GNA12/AKAP13/NCKAP1/RHOA",240
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","152/6581","284/18986",0.535211267605634,1.54406946159559,6.72856349958076,4.32967572115968e-11,3.45562243495057e-08,2.43487289897849e-08,"MDK/IGFBP2/LGALS1/DPP4/EFNB2/ANXA1/CD70/CD276/TNFSF14/ZMIZ1/TFRC/SMARCC2/RUNX1/SRC/NFKBIZ/IL7/SART1/SOCS1/CD160/BRD7/FOXO3/PRKCQ/CD44/HLA-DMB/CCL5/SKAP1/CHST2/CD40LG/NFAT5/PTPN11/SLC7A1/PDCD1LG2/GCNT1/IL15/ABL2/IL2RG/ICOS/HLA-DRA/IL1A/FCHO1/SLAMF1/CHST4/KLHL25/CD274/DUSP10/CCR2/LEF1/CCL2/PNP/CD80/GATA3/SASH3/XCL1/KLRK1/IL2RA/FLOT2/ARID1B/STAT5B/PHF10/LCK/KAT5/CD5/ALOX5/RHOH/HLA-DMA/CD3E/FADD/TNFRSF14/LYN/HLA-DOA/TNFSF11/PPP3CA/CCR7/HAVCR2/HLA-DPA1/TNFSF4/SMARCA4/CD74/ACTL6B/B2M/SIRPG/OPA1/PDPK1/IL18/BMI1/PRKCZ/ACTL6A/RUNX3/GPAM/PIK3R6/PYCARD/XBP1/HLA-DQB2/IL6/HLA-DPB1/CD86/ITGA4/BCL10/RAG1/ITGB2/CD6/VTCN1/HHLA2/HES1/TMIGD2/IL4I1/ACTB/LILRB1/TNFRSF13C/CAV1/CYLD/SPN/PTPN6/LILRB2/HLA-A/PBRM1/CR1/HLA-DQA2/EFNB1/SMARCA2/HLA-DRB1/AIF1/BCL6/ZBTB16/CCDC88B/KLHL22/VAV1/FUT4/BRD2/SYK/TNFSF13B/SIRPB1/ABL1/PTPRC/ARID2/NCKAP1L/HLA-DQA1/EP300/BTN2A2/AP3D1/TGFB1/HAS2/SHB/LGALS9/CD4/FBXO38/RIPK2/SOX4/NCK1/HLA-E/RHOA/SIRPA",152
"GO:0050870","positive regulation of T cell activation","141/6581","260/18986",0.542307692307692,1.5645424473718,6.67595849458942,6.33199269016243e-11,4.49219703629857e-08,3.16525576114084e-08,"MDK/IGFBP2/LGALS1/DPP4/EFNB2/ANXA1/CD70/CD276/TNFSF14/ZMIZ1/TFRC/SMARCC2/RUNX1/SRC/NFKBIZ/IL7/SART1/SOCS1/CD160/BRD7/FOXO3/PRKCQ/HLA-DMB/CCL5/CD40LG/PTPN11/SLC7A1/PDCD1LG2/IL15/ABL2/IL2RG/ICOS/HLA-DRA/IL1A/FCHO1/SLAMF1/KLHL25/CD274/DUSP10/CCR2/LEF1/CCL2/PNP/CD80/GATA3/SASH3/XCL1/KLRK1/IL2RA/FLOT2/ARID1B/STAT5B/PHF10/LCK/KAT5/CD5/RHOH/HLA-DMA/CD3E/FADD/TNFRSF14/LYN/HLA-DOA/TNFSF11/PPP3CA/CCR7/HAVCR2/HLA-DPA1/TNFSF4/SMARCA4/CD74/ACTL6B/B2M/SIRPG/OPA1/PDPK1/IL18/BMI1/PRKCZ/ACTL6A/RUNX3/GPAM/PIK3R6/PYCARD/XBP1/HLA-DQB2/IL6/HLA-DPB1/CD86/BCL10/RAG1/CD6/VTCN1/HHLA2/HES1/TMIGD2/IL4I1/ACTB/LILRB1/TNFRSF13C/CAV1/CYLD/SPN/PTPN6/LILRB2/HLA-A/PBRM1/CR1/HLA-DQA2/EFNB1/SMARCA2/HLA-DRB1/AIF1/BCL6/ZBTB16/CCDC88B/KLHL22/VAV1/BRD2/SYK/TNFSF13B/SIRPB1/ABL1/PTPRC/ARID2/NCKAP1L/HLA-DQA1/EP300/BTN2A2/AP3D1/TGFB1/SHB/LGALS9/CD4/FBXO38/RIPK2/SOX4/NCK1/HLA-E/RHOA/SIRPA",141
"GO:0031109","microtubule polymerization or depolymerization","87/6581","142/18986",0.612676056338028,1.76755319945811,6.68680983544932,8.02492620074293e-11,5.12391537917436e-08,3.61037206126056e-08,"MAPT/CLASP2/NUMA1/ANKRD53/TUBGCP2/TUBGCP6/APC2/PCNT/KIF18A/SPAST/CDKN1B/ARHGEF7/PSRC1/SKA1/KIF2C/DCTN1/SKA3/MAP1A/MET/GIT1/HDAC6/KATNB1/MECP2/AKAP9/DIAPH3/AURKB/TPX2/CLIP3/TUBGCP3/TPPP3/MAP2/GBA2/CAMSAP1/CDK5R1/NIN/STMN4/CLASP1/KIF2A/NCKAP5L/DYRK1A/TBCD/TRPV4/CRYAB/NME7/NCKAP5/TUBGCP4/TPPP2/FGF13/MAP1S/HAUS8/SLAIN1/CAV3/APC/TTBK2/HAUS1/HAUS3/FES/GOLGA2/CDK5RAP2/TPPP/CEP192/FBXO5/PDE4DIP/TUBG2/SLAIN2/KIF24/ARHGEF2/NDE1/TUBGCP5/KIF18B/ABL1/TUBA1A/INPP5J/SPEF1/BLOC1S2/MID1/MAP7D3/NEDD1/ATXN7/MAPRE2/NAV3/CKAP2/MID1IP1/STMN3/FKBP4/RANBP9/CKAP5",87
