"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","chromosome segregation","135/2742","429/18986",0.314685314685315,2.17892610671604,10.1473790334077,9.4650791066621e-20,5.80020047656254e-16,5.28848841033289e-16,"PSMC3IP/BCL7C/CENPH/PLK1/NUF2/CENPM/HDAC3/ITGB3BP/TUBG1/HAUS8/PTTG1/SKA1/RAN/PRAP1/KIF2C/CCNB1/HAUS1/MAD2L2/NUP37/KIF4A/TTN/ACTL6A/SMC4/KIF15/TRIP13/KIF4B/ANKRD53/MAD2L1/CDC6/DSN1/KIFC1/BCL7B/CDCA8/NUSAP1/CDK1/SKA3/AURKA/KIF18A/CENPL/DIAPH3/CCNE1/CENPK/CDT1/NCAPH/MYBL2/TUBB/OIP5/FBXO5/CDC42/HJURP/UBE2I/CHEK2/KIF14/HECW2/CDC20/CDCA2/PTTG3P/STIL/MND1/CENPF/CDCA5/PRC1/PTEN/BRCA1/CENPN/RACGAP1/KNTC1/NCAPG2/TPX2/UBE2C/CHMP2A/CENPQ/NUP62/KIF23/CCNB2/SETDB2/PSRC1/TTK/PINX1/ASPM/AURKB/BUB1/SYCP2L/CLASP2/ATM/ESPL1/NDC80/TACC3/KIF11/RCC2/ANAPC7/RAD18/ESCO2/CENPP/ECT2/PRDM9/LSM14A/DLGAP5/BOD1/NEK2/CENPE/CENPW/BIRC5/FANCD2/SPC24/SIRT1/SMARCE1/DMC1/NEK6/NCAPG/PMF1/CENPI/ANAPC11/SPC25/TOP2A/ACTB/UVRAG/NUMA1/TUBGCP6/CENPO/MMS19/CCNE2/ACTL6B/DYNC1H1/RHOA/BEX4/MKI67/ZWINT/PLSCR1/NDE1/CDC23/APC/MLH1/NSL1/TUBGCP2",135
"GO:0098813","nuclear chromosome segregation","104/2742","324/18986",0.320987654320988,2.22256440734437,9.11922006201672,3.68840895331618e-16,1.13012850329608e-12,1.03042498548433e-12,"PSMC3IP/BCL7C/PLK1/NUF2/TUBG1/PTTG1/SKA1/RAN/PRAP1/KIF2C/CCNB1/MAD2L2/KIF4A/TTN/ACTL6A/SMC4/KIF15/TRIP13/KIF4B/ANKRD53/MAD2L1/CDC6/DSN1/KIFC1/BCL7B/CDCA8/NUSAP1/CDK1/SKA3/AURKA/KIF18A/CCNE1/CENPK/CDT1/NCAPH/MYBL2/FBXO5/CDC42/CHEK2/KIF14/HECW2/CDC20/PTTG3P/MND1/CENPF/CDCA5/PRC1/PTEN/RACGAP1/KNTC1/NCAPG2/TPX2/UBE2C/CHMP2A/CENPQ/NUP62/KIF23/CCNB2/PSRC1/TTK/PINX1/ASPM/AURKB/BUB1/SYCP2L/CLASP2/ATM/ESPL1/NDC80/TACC3/KIF11/RCC2/ANAPC7/ECT2/PRDM9/LSM14A/DLGAP5/BOD1/NEK2/CENPE/BIRC5/FANCD2/SPC24/SIRT1/SMARCE1/DMC1/NEK6/NCAPG/PMF1/CENPI/ANAPC11/SPC25/TOP2A/ACTB/NUMA1/CCNE2/ACTL6B/DYNC1H1/RHOA/ZWINT/CDC23/APC/MLH1/NSL1",104
"GO:0000819","sister chromatid segregation","82/2742","235/18986",0.348936170212766,2.41608392693639,8.9743549628645,2.61509313048362e-15,4.08602865368543e-12,3.725546257689e-12,"BCL7C/PLK1/NUF2/TUBG1/SKA1/RAN/PRAP1/KIF2C/CCNB1/MAD2L2/KIF4A/TTN/ACTL6A/SMC4/KIF15/TRIP13/KIF4B/ANKRD53/MAD2L1/CDC6/KIFC1/BCL7B/CDCA8/NUSAP1/CDK1/SKA3/KIF18A/CENPK/CDT1/NCAPH/MYBL2/FBXO5/CHEK2/KIF14/HECW2/CDC20/CENPF/CDCA5/PRC1/RACGAP1/KNTC1/NCAPG2/TPX2/UBE2C/CHMP2A/NUP62/KIF23/PSRC1/TTK/PINX1/AURKB/BUB1/CLASP2/ATM/ESPL1/NDC80/TACC3/KIF11/ANAPC7/LSM14A/DLGAP5/BOD1/NEK2/CENPE/BIRC5/SPC24/SIRT1/SMARCE1/NEK6/NCAPG/CENPI/ANAPC11/SPC25/TOP2A/ACTB/NUMA1/ACTL6B/RHOA/ZWINT/CDC23/APC/NSL1",82
"GO:0006260","DNA replication","93/2742","283/18986",0.328621908127208,2.27542507210182,8.88147436088205,2.66712053112626e-15,4.08602865368543e-12,3.725546257689e-12,"RFC2/GINS2/MCM3/RNASEH2A/RUVBL1/MCM2/RPA3/RBBP8/PCNA/GINS1/RUVBL2/SSBP1/GRWD1/CHEK1/RAD51/MCM5/RFC4/TBRG1/DSCC1/CDC25A/TRAIP/ACTL6A/CDK2/POLD2/EME1/CDC6/CHAF1A/MCM7/POLA2/CCNA2/CDK1/POLD3/DNAJC2/MCM6/CCNE1/GINS4/CDT1/DBF4/TIPIN/DTL/POLE3/FBXO5/CDC42/RPA2/EXO1/S100A11/BRCA1/LRWD1/CHAF1B/TSPYL2/FEN1/WEE1/TP53/CDC45/E2F7/FAF1/PRIM1/ZNF365/TIMELESS/RRM1/LIG1/PRIM2/CDC7/POLE4/POLL/POLD1/MCM10/TK1/ESCO2/FAM111B/MCM4/HCRT/DONSON/WDHD1/RFWD3/DACH1/DNAJA3/RPA1/RFC3/PTMS/RBBP4/RFC5/NASP/BCL6/CCNE2/GINS3/INO80E/ZMPSTE24/CDC34/MEAF6/FAM111A/BRPF3/CDK2AP1",93
"GO:0000070","mitotic sister chromatid segregation","71/2742","194/18986",0.365979381443299,2.53409355801695,8.8238627619966,1.21910640447911e-14,1.4941368093296e-11,1.36231932525792e-11,"PLK1/NUF2/TUBG1/SKA1/RAN/PRAP1/KIF2C/CCNB1/MAD2L2/KIF4A/TTN/SMC4/KIF15/TRIP13/KIF4B/ANKRD53/MAD2L1/KIFC1/CDCA8/NUSAP1/CDK1/SKA3/KIF18A/CENPK/CDT1/NCAPH/MYBL2/FBXO5/CHEK2/KIF14/CDC20/CENPF/CDCA5/PRC1/RACGAP1/KNTC1/NCAPG2/TPX2/UBE2C/CHMP2A/NUP62/KIF23/PSRC1/TTK/PINX1/AURKB/BUB1/CLASP2/ATM/ESPL1/NDC80/KIF11/ANAPC7/LSM14A/DLGAP5/BOD1/NEK2/CENPE/BIRC5/SPC24/SIRT1/NCAPG/CENPI/ANAPC11/SPC25/NUMA1/RHOA/ZWINT/CDC23/APC/NSL1",71
"GO:0140014","mitotic nuclear division","90/2742","282/18986",0.319148936170213,2.20983286000279,8.409597670663,5.29337820338822e-14,5.4063036050605e-11,4.92934236904994e-11,"PLK1/NUF2/TUBG1/CHEK1/SKA1/RAN/PRAP1/KIF2C/CCNB1/MAD2L2/KIF4A/TTN/SMC4/KIF15/TRIP13/KIF4B/ANKRD53/MAD2L1/KIFC1/CDCA8/NUSAP1/CDK1/SKA3/AURKA/KIF18A/CENPK/CDT1/NCAPH/MYBL2/FBXO5/CDC42/UBE2I/CHEK2/KIF14/CDC20/CDCA2/CENPF/UBE2S/CDCA5/PRC1/CDC25C/RACGAP1/KNTC1/NCAPG2/TPX2/UBE2C/CHMP2A/NUP62/KIF23/SMPD3/PSRC1/TTK/PINX1/AURKB/BUB1/CLASP2/ATM/ESPL1/NDC80/KIF11/ANAPC7/NEUROG1/LSM14A/PKMYT1/DLGAP5/BOD1/NEK2/CENPE/BANF1/BIRC5/SPC24/RANBP1/SIRT1/AURKAIP1/NCAPG/REEP4/CENPI/ANAPC11/SPC25/TOM1L2/NUMA1/TGFA/CUL9/RHOA/MKI67/ZWINT/NDE1/CDC23/APC/NSL1",90
"GO:0051983","regulation of chromosome segregation","54/2742","135/18986",0.4,2.76965718453683,8.47776485847713,2.81642047069275e-13,2.46557494920074e-10,2.24805411405069e-10,"BCL7C/PLK1/NUF2/SKA1/PRAP1/KIF2C/CCNB1/MAD2L2/ACTL6A/SMC4/TRIP13/MAD2L1/CDC6/BCL7B/CDCA8/CDK1/SKA3/NCAPH/FBXO5/HECW2/CDC20/CDCA2/CENPF/KNTC1/NCAPG2/UBE2C/TTK/AURKB/BUB1/ATM/ESPL1/NDC80/TACC3/RCC2/ANAPC7/RAD18/DLGAP5/CENPE/BIRC5/SPC24/SIRT1/SMARCE1/NEK6/NCAPG/ANAPC11/SPC25/ACTB/NUMA1/ACTL6B/MKI67/ZWINT/PLSCR1/CDC23/APC",54
"GO:0006261","DNA-templated DNA replication","61/2742","169/18986",0.36094674556213,2.49924686770336,8.04329218803464,1.77794640604445e-12,1.36190694703005e-09,1.2417552004321e-09,"RFC2/GINS2/MCM3/MCM2/RBBP8/PCNA/GINS1/SSBP1/RAD51/MCM5/RFC4/DSCC1/TRAIP/CDK2/POLD2/EME1/CDC6/MCM7/POLA2/POLD3/MCM6/CCNE1/GINS4/CDT1/DBF4/TIPIN/POLE3/FBXO5/EXO1/BRCA1/LRWD1/FEN1/CDC45/E2F7/PRIM1/ZNF365/TIMELESS/RRM1/LIG1/PRIM2/CDC7/POLE4/POLD1/MCM10/TK1/MCM4/DONSON/WDHD1/RFWD3/DACH1/DNAJA3/RPA1/RFC3/RFC5/BCL6/CCNE2/GINS3/ZMPSTE24/CDC34/FAM111A/CDK2AP1",61
"GO:0044772","mitotic cell cycle phase transition","124/2742","467/18986",0.265524625267666,1.8385304651101,7.53808544325393,3.33534417971299e-12,2.07451929558049e-09,1.8914986294045e-09,"BCL7C/RBBP8/LSM10/PLK1/NUF2/CKS1B/CHEK1/SKA1/PRAP1/PLCB1/CCNB1/GTSE1/MAD2L2/CDC25A/ACTL6A/CDK2/TRIP13/MAD2L1/CCNB3/CDC6/BCL7B/CDCA8/CCNA2/CDK1/SKA3/CDKN2C/AURKA/CCNE1/DBF4/E2F1/MELK/DTL/FBXO5/RPA2/CHEK2/KIF14/HECW2/CDC20/STIL/MYO16/CENPF/UBE2S/CDCA5/PTEN/BRCA1/CDC25C/KNTC1/FOXM1/CACNB4/UBE2C/CHMP2A/EIF4EBP1/CCNB2/TPRA1/TTK/PINX1/RRM2/WEE1/TP53/PPP3CA/CKS2/AURKB/BUB1/EZH2/E2F7/CLASP2/ATM/ESPL1/NDC80/WAC/RRM1/TACC3/TRIAP1/CDC7/RCC2/ANAPC7/USH1C/CASP2/NEUROG1/PKMYT1/DLGAP5/KLF4/CENPE/DONSON/CCNY/BIRC5/RFWD3/FOXO4/MTA3/SPC24/IQGAP3/KANK2/CCNI2/SMARCE1/CDKN3/NEK6/CYP1A1/BRSK2/ANAPC11/SPC25/ACTB/PLK3/FBXL15/UIMC1/KHDRBS1/ANXA1/HUS1/PKD1/UBE2A/CCNE2/CPSF3/ACTL6B/CCNF/ZWINT/CUL1/PSME3/LSM11/CDC34/CDC23/APC/RINT1/PSME2/NES/CTDSP1",124
"GO:1902850","microtubule cytoskeleton organization involved in mitosis","60/2742","167/18986",0.359281437125749,2.48771603401512,7.93364098326559,3.38531216641724e-12,2.07451929558049e-09,1.8914986294045e-09,"CENPH/PLK1/NUF2/HDAC3/TUBG1/RAN/GNAI1/CCNB1/KIF4A/KIF15/KIF4B/ANKRD53/MAD2L1/KIFC1/CDCA8/NUSAP1/CDK1/AURKA/MYBL2/WDR62/CENPA/CHEK2/CDC20/STIL/TBCE/RAE1/PRC1/RACGAP1/SPRY1/TPX2/CHMP2A/TACC1/NUP62/KIF23/PSRC1/TTK/DCTN1/AURKB/CLASP2/ESPL1/NDC80/TACC3/KIF11/LSM14A/DLGAP5/NEK2/CENPE/BIRC5/PKHD1/NEK6/SPC25/PLK3/NUMA1/SPRY2/PKD1/DYNC1H1/DYNLT1/RHOA/HTT/NDE1",60
