"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","60/1938","165/18986",0.363636363636364,3.562435500516,11.1459999302722,1.84981354803541e-19,1.08602553405159e-15,9.71249471326383e-16,"EIF3L/RPL3/RPL7/RPL22/RPL13A/RPL4/EIF3A/RPL12/RPL15/PABPC1/MCTS1/RPS24/RPL5/RPS12/RPL7A/RPL31/MTOR/DRG1/RPL27A/RPL26/RPL10/RPS25/RPL30/RPS6/EIF3E/NMNAT2/EIF3H/RPS11/RPL14/EIF3D/RPL6/GTPBP1/CPEB3/RPL37/FAU/RPSA/RPS27A/RPS23/RPLP0/RPL17/RPS8/EIF3F/RPS4X/RPS3/RPS7/RPL18/RPL19/DHX9/RPS16/CSDE1/RPL29/RPL11/RPS18/RPL32/RPL18A/EIF3J/RPS10/RPL24/RPLP1/RPS9",60
"GO:1903829","positive regulation of protein localization","83/1938","497/18986",0.167002012072435,1.63606821527722,4.84474190835168,4.39147273529973e-06,0.0101290663528422,0.00905858106625377,"MICALL2/PRKG2/GLUD1/APBB3/ABCA12/CLIP3/SMAD3/CRKL/CAPN10/GPR137B/SPTBN1/KCNB1/ADAM8/SYT11/DOC2B/AMOTL2/DPP10/NMT1/IGF1/EP300/BMP6/SEC16B/TRPM4/LEP/PRKCA/TERT/TRPM5/IPO7/CD247/SORL1/GAS8/YWHAE/VEGFA/FYN/F2RL2/FFAR1/HSP90AB1/ADCY10/UBE2L3/PRKCB/ABCA7/JAK1/ERBB4/PFKM/CEP135/MYH10/HSP90AA1/CREBBP/STX3/WNK3/PPP3CB/PINK1/PARK7/SORBS1/VAMP2/ABAT/HSPA1L/MAPT/HUWE1/OSBP/PLCB1/EPB41L2/MAPK8/NF2/ATP2B4/SOX4/GSK3A/PIAS1/MYRIP/CCT3/TRIM8/MAP1A/NPEPPS/VPS11/MGAT3/CDK5R1/PIK3CA/PARP1/APBB1/ABLIM3/PIK3R1/CDK5RAP3/NUMA1",83
"GO:0001503","ossification","77/1938","456/18986",0.168859649122807,1.65426692375935,4.76809769988041,6.40018989584523e-06,0.0101290663528422,0.00905858106625377,"THBS3/ADAMTS7/PRICKLE1/CYP27B1/SUFU/IFT80/MAPK1/SFRP2/GDF10/TCIRG1/S1PR1/PTCH1/CRIM1/CCDC154/SMAD7/BMPR2/VCAN/KREMEN2/SMAD3/GTPBP4/HOXA2/HIRA/ACVR2B/SBNO2/THRA/MMP16/WNT7B/NOG/CTNNBIP1/SHOX2/IGF1/MN1/RSL1D1/BMP6/NBR1/PDLIM7/TRPM4/INTU/RBPJ/HNRNPC/SNAI1/CEBPD/LEP/IPO7/SUN1/BMP2/ECM1/DMP1/BMP1/NF1/ASF1A/VEGFA/BCL2/IBSP/ADCY10/SFRP1/FSTL3/WWOX/COL5A2/TAPT1/MAPK3/PTPRB/DHX9/PTEN/PTH1R/SOX8/DDX21/GABBR1/CLTC/SMOC1/ADAR/PBX1/GPM6B/GIT1/FBL/NIPBL/COL6A1",77
"GO:0009895","negative regulation of catabolic process","65/1938","367/18986",0.177111716621253,1.73510993383443,4.79460259920614,6.90108421246278e-06,0.0101290663528422,0.00905858106625377,"SUFU/PTPN22/TRAF5/WAC/EIF4ENIF1/QRICH2/THRAP3/PPARA/RNF41/SMAD3/TBC1D14/PHF23/PABPC1/RPL5/EP300/RRAGB/USP7/OPHN1/NBAS/MTOR/HNRNPC/ELAVL4/LEP/DFFA/TTC36/NCOR1/IGF2BP3/CIDEC/GATA4/SORL1/EIF3H/BCL2/TIMP3/FYN/HSP90AB1/UBQLN4/RGP1/PINK1/PARK7/SIRT2/RPS7/OGT/DHX9/RRAGA/CSDE1/RPL11/ATP2B4/GSK3A/MDM4/TAB2/UBXN1/MAP1A/SNRNP70/WNK1/MGAT3/KDM4A/PIK3CA/MTMR9/SERPINE2/ZCCHC17/HIPK2/GIT1/CSNK2A1/USP5/CDK5RAP3",65
"GO:0048511","rhythmic process","55/1938","299/18986",0.183946488294314,1.80206812526102,4.71327226351926,1.12384184124654e-05,0.0103773922162335,0.00928066273558215,"SLC26A6/GDF10/PGR/DDB1/THRAP3/PPARA/BTRC/PRMT5/IMPDH2/C3orf70/EP300/SCAPER/SIRT1/MAPK10/KCND2/USP7/PDGFRA/GNAQ/MTOR/CRY2/LEP/NCOR1/GPR157/FBXW11/SETX/TEF/DRD4/KDM5B/MAGEL2/ANKFN1/PER3/GABRB1/CREBBP/CRTC1/PHLPP1/NTRK2/NR1D2/HUWE1/BTBD9/OGT/DHX9/MAPK8/CSNK1E/NCOA1/PTEN/ADAMTS1/SGPL1/FOXO3/HSPA8/CDK5R1/PARP1/KAT5/KDM5A/COL6A1/CSNK2A1",55
"GO:0071375","cellular response to peptide hormone stimulus","58/1938","321/18986",0.180685358255452,1.77011982034985,4.69183022479687,1.14716306376556e-05,0.0103773922162335,0.00928066273558215,"SLC26A6/MAPK1/EIF4EBP2/LPIN3/CAPN10/GLP2R/SLC25A33/SOCS1/GDF15/PIP4K2B/SIRT1/FUT7/MTOR/SCNN1D/SLC2A4/LEP/PRKCA/PNPLA3/LPIN1/SHC1/SORL1/NUCKS1/GRB14/GRIA1/CSH1/ADCY6/GHR/PID1/VWA2/PRKCB/JAK1/ARID1B/IRS1/KANK1/NCOA5/SORBS1/VAMP2/MAPK3/SHOC2/SOCS7/PLCB1/OGT/AHCYL1/NCOA1/GSK3A/FAT1/HDAC5/FBN1/APPL1/PDK2/FOXO4/SOS2/CA2/PIK3CA/PARP1/PIK3R1/COL6A1/NCL",58
"GO:0008286","insulin receptor signaling pathway","30/1938","130/18986",0.230769230769231,2.26077637532746,4.86329285512813,1.46962016169734e-05,0.0103773922162335,0.00928066273558215,"MAPK1/EIF4EBP2/SOCS1/PIP4K2B/SIRT1/FUT7/LEP/SHC1/SORL1/NUCKS1/GRB14/PID1/VWA2/PRKCB/IRS1/KANK1/NCOA5/SORBS1/MAPK3/SOCS7/OGT/GSK3A/APPL1/PDK2/FOXO4/SOS2/PIK3CA/PIK3R1/COL6A1/NCL",30
"GO:0003002","regionalization","72/1938","430/18986",0.167441860465116,1.64037727698178,4.52869870233065,1.69477423356896e-05,0.0103773922162335,0.00928066273558215,"PRICKLE1/SUFU/HOXA3/SFRP2/GSX2/HOXA9/EN1/MDFI/DZIP1L/HOXC9/PTCH1/IRX2/RARG/CAPRIN2/TLL1/BMPR2/CLUAP1/SMAD3/CRKL/SSBP3/HOXA2/ACVR2B/CXXC4/WNT7B/PKD2/HOXC13/NOG/NEK8/CTNNBIP1/KAT2A/EP300/HOXB3/LAMA5/ABI1/INTU/RBPJ/DLL3/SNAI1/HOXC11/HOXA5/HOXC6/POU5F1/GATA4/HOXA6/LDB1/BMP2/NOTCH2/RELN/BMP1/DMRTA2/HOXD11/GAS8/HES5/SFRP1/DLL1/AP1B1/SEMA3F/NLE1/SOX18/PCGF2/CELSR2/TSHZ1/HIPK1/BASP1/DDIT3/PBX1/HEY2/HIPK2/VANGL2/DSCAML1/ETS2/NOMO1",72
"GO:0031396","regulation of protein ubiquitination","41/1938","205/18986",0.2,1.9593395252838,4.65624025242538,1.93757158609914e-05,0.0103773922162335,0.00928066273558215,"PRICKLE1/PTPN22/MTBP/ARRB1/WDR48/CHFR/BTRC/SMAD7/GTPBP4/PARP10/PHF23/TCF25/DNAJA1/RPL5/RBCK1/MALT1/RASSF1/TTC36/SPHK1/FYN/HSP90AB1/UBE2L3/HSP90AA1/PINK1/PARK7/RPS3/HUWE1/EPM2A/RPS7/NXN/OGT/RPL11/GABARAP/SOX4/GSK3A/PTEN/UBXN1/RNF111/WNK1/UBQLN1/CDK5RAP3",41
"GO:0032869","cellular response to insulin stimulus","42/1938","213/18986",0.197183098591549,1.93174319394177,4.61067658146559,2.20328800885184e-05,0.0103773922162335,0.00928066273558215,"MAPK1/EIF4EBP2/LPIN3/CAPN10/SLC25A33/SOCS1/PIP4K2B/SIRT1/FUT7/MTOR/SLC2A4/LEP/PNPLA3/LPIN1/SHC1/SORL1/NUCKS1/GRB14/GHR/PID1/VWA2/PRKCB/IRS1/KANK1/NCOA5/SORBS1/VAMP2/MAPK3/SOCS7/OGT/NCOA1/GSK3A/HDAC5/APPL1/PDK2/FOXO4/SOS2/PIK3CA/PARP1/PIK3R1/COL6A1/NCL",42
