"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042391","regulation of membrane potential","233/6229","466/18986",0.5,1.52400064215765,8.00284627663967,6.01608088628598e-15,3.8370563892732e-11,2.99094210799249e-11,"NALCN/SMAD7/KCNB1/KCNH1/FGF12/MAPT/GLRA3/GRM1/CBLN1/PTEN/SLC1A6/GRID1/EHD3/AKAP6/GABRG1/CUX2/KCNJ9/KCTD16/ATP1A3/CRTC1/KCNJ3/CTNNA3/GRIK4/GRIN3A/GABBR1/CLIC1/NETO1/CHRNA4/GABRB3/SYNE1/STOX1/POPDC2/SLC8A2/NOS1/PID1/RGS7BP/KCNK3/RELN/RAB3GAP1/TBC1D24/GABRA3/PPP3CA/DSG2/FGF13/SCN2B/KCNA6/COL6A1/STX1B/SLC8A3/NTRK2/RIMS2/CACNA1C/MECP2/CACNA2D1/GJC1/CACNA1I/KIF5B/GRIA2/CACNG2/NRXN1/SHANK1/ADRA1A/GCLC/NLGN2/PRKCZ/KCNQ3/CACNA1D/GRID2/MAPK8IP2/SCN3A/NPFF/P2RX7/KCND2/KCNN4/KCNMB3/SCN11A/GRIN1/GABRD/ABCC8/HCN2/GABRB1/GNAQ/KCNJ10/GPR35/GRIA4/RIMS3/GRM5/GABRG2/GRIN2A/KCNC3/KCNMA1/SCN3B/KCND3/GRIA3/P2RX6/P2RX5/KCNK4/SLC25A27/KCNIP2/CHRM1/SCN8A/KCNK5/SCN1A/GRIN2C/BAX/CELF4/AKAP9/DSP/GRIK2/BAK1/CACNB4/UBB/GABRR1/KCNA4/SCN2A/NOS1AP/KCNAB2/HCN1/KCNH5/TRDN/TMEM25/CHRNA5/SLC24A4/SHANK3/KCNC1/CHRNA9/CACNA1H/CHRNB2/SLC25A33/CACNB2/ABCB5/KCNH8/MPP2/ABAT/IFI6/CHRNA10/DLG4/GLRA1/MYH14/GRIN2D/RIMS1/ANK2/KCNB2/SOD2/GLRB/HCRT/CLCN2/WWP2/NLGN1/CALM3/ABCC9/CLN3/KCNA2/GRIA1/PKP2/PPIF/TACR1/PINK1/KCNK1/RNF207/HTR3B/ATP1B3/BCL2/RYR2/SLC39A8/MUL1/SLC1A7/GJD2/MEF2C/FZD9/GRIN2B/DRD1/KCNA5/DMPK/GABRA1/B2M/CTNS/TRPM4/MLLT11/KCNJ11/BIN1/ATP2A2/KCNE3/KCNN2/KCNC2/TRPC5/NTSR2/CASQ2/KCNV1/SNCA/ADORA1/CHRNA2/KCNG2/P2RX4/ALB/ADRB2/NPPA/CHRNA1/GSK3B/BID/PLN/HCN3/GABRA6/KCNQ2/GLRX/GABRA5/KCNA3/FLNA/CNTNAP1/GABRB2/SLMAP/CALM1/TSPO/CHRNB1/CAMK2D/AKAP7/SCN1B/RNF122/GRIK1/SLC8A1/SCN4B/UCP2/PRELID1/MFN1/SLC4A3/BBS10/KCNK2/MTOR/ATP1A2/ANK3/APP/SRC/ABL1",233
"GO:1990778","protein localization to cell periphery","184/6229","362/18986",0.50828729281768,1.54926032130943,7.37286392943519,6.6505725943956e-13,2.12086760035276e-09,1.65319233491213e-09,"KCNB1/RAPGEF2/AP4M1/PRKG2/GNAI1/RAP2A/TUB/PRKCE/EHD3/TNIK/SPTBN1/KIF13A/SORL1/PLK1/GPR158/ZDHHC22/CLASP2/SLC1A1/RAB11FIP2/DPP10/NETO1/CNPY4/ARL3/IFT20/NUMA1/ERBB4/STX7/PID1/PTCH1/CLIP3/KCNIP3/GRIP1/EFR3B/FGF13/CACNA2D2/MMP14/PIGW/STXBP1/ZFYVE27/STX1B/PIK3R1/MYO5A/KIF5B/EPB41L2/VAMP2/RAB34/CACNG2/NRXN1/PDPK1/LYPLA1/CNST/PRKCZ/STAC/ANK1/TSPAN14/RABEP1/TTC7B/PIAS1/KRT18/LRRC7/WNK1/CLTC/ABCA12/RAB8A/FRMD8/PREPL/SORBS1/TNFRSF1A/PPP1R9B/GRIN2A/SCN3B/CAMK2G/KIF2C/LGALS3/ZDHHC2/LHFPL4/ZDHHC23/PRNP/GBP1/GRIN2C/EPHA2/OPTN/VAMP5/RAB38/WNK3/PPP2R5A/CLSTN1/RER1/EPB41L3/SPTBN4/IFT80/SFN/BAG4/AKT2/OLFM1/ZDHHC4/CACNB2/APPL1/VWC2/IQSEC2/EFR3A/TMEM150A/DLG4/TMBIM1/PRAM1/ANK2/CPLX1/KCNB2/GORASP1/EHD2/ITGA3/CLN3/CCDC88A/PKP2/BBS1/GRIP2/F11R/ATP1B3/PDZK1/ATP2B4/TTC7A/NSF/RAPSN/EPHB2/FLOT2/EXOC5/LRP6/KCNJ11/VPS26B/RHOQ/CACNG3/ERBB2/GRIPAP1/C1QL2/SNCA/ACTB/RAPGEF6/GHSR/CACNG7/ASB3/NPTX1/ITGB1BP1/VAMP8/LRRC15/DPP6/DENND4C/FLNA/PACS2/GGA3/ABCA2/SLMAP/TMEM88/CAMK2D/TSPAN5/ATP2C1/ARL13B/S100A10/CDH2/RAMP3/PACSIN1/SEC16A/ABI3/PLEKHF1/ITGB1/EPM2A/TRAF6/EMP2/TSPAN15/VTI1B/PTPN9/ROCK1/EPB41/LAMA5/RAP1A/LRP1/GOLGA4/NUBP1/ANK3/MACF1/PALM/FLOT1/RAB13/IKBKB/TMED2",184
"GO:0050890","cognition","168/6229","329/18986",0.51063829787234,1.55642618773547,7.11417907944606,4.07005023684456e-12,8.65292680353154e-09,6.74485869074276e-09,"CPEB3/PLCB1/MAP1A/CLSTN2/MAPT/TMOD2/PPP3CB/ATP8A1/PTEN/CASP3/NF1/JPH3/AFF2/DDHD2/MGAT3/SHISA7/MDK/GPR158/TNR/SLC2A4/SYNJ1/CUX2/SLC1A1/SORCS3/PDE8B/CRTC1/ATAD1/NOG/MAPK1/RASGRF1/NETO1/CHRNA4/EN1/EIF4EBP2/BTBD9/IFT20/SLC8A2/SHANK2/CNTNAP2/HOXA1/RELN/PAFAH1B1/NSUN5/FGF13/THRA/JPH4/EP300/RP9/TSC1/PTN/SLC8A3/NTRK2/MECP2/PRRT1/SLC6A1/HTT/ELAVL4/NRXN1/SHANK1/DGCR2/GMPPA/HTR2A/VPS13B/PRKCZ/CBR3/PIAS1/MAPK8IP2/SLC24A2/SOBP/CLN8/SYNGAP1/GRIN1/NRXN2/ABCC8/AGER/SLC1A4/DNAH11/PPP1R9B/GRM5/GRIN2A/GIT1/LRRN4/ATXN1L/KCNK4/CHRM1/PRNP/SYT11/NTAN1/DRD5/SCN2A/CSMD1/CRHBP/ITGA5/HLA-DRA/TUBA1A/SHANK3/NIPBL/ATXN1/CHRNB2/CHD7/MME/LMX1A/PDE1B/NDRG4/FOSL1/TTBK1/LRRC66/DLG4/B3GAT1/TUSC3/MAGT1/STRA6/RCAN1/GPR155/FEN1/GLP1R/KAT2B/ITGA3/CLN3/ARF4/SLC12A5/GRIA1/OPRK1/TACR1/GALR3/CALB1/SLC11A2/MEF2C/FZD9/GRIN2B/DRD1/EPHB2/B2M/CTNS/PRKCG/JAKMIP1/KRAS/SPG11/ADORA1/HRH1/BBS4/SNAP25/GHSR/NRXN3/PLN/FYN/KIT/GABRA5/C1QL1/MEIS2/NEUROG1/ST3GAL4/PJA2/BRAF/OPRL1/ITGB1/EPM2A/UBA6/SETD5/S100B/KCNK2/ATP1A2/EHMT2/PPP1R1B/APP/SRC/HMGCR/ABL1",168
"GO:0007626","locomotory behavior","117/6229","213/18986",0.549295774647887,1.67425422659573,6.91491470658131,1.99937917272131e-11,3.18801009090413e-08,2.48501785072704e-08,"FGF12/PPP3CB/GRM1/PTEN/MEIS1/GNAO1/PRKCE/DDHD2/TNR/SLC1A1/ADCY5/DSCAM/EN1/HTR2C/BTBD9/CNTN1/NEGR1/SHANK2/SLITRK6/GLA/RELN/SNCG/HOXD10/HIPK2/PAFAH1B1/PBX3/TSC1/ASL/GDNF/APBA1/MECP2/HEXB/ELAVL4/CLCN3/GIGYF2/FEZF2/NLGN2/INPP5F/SOBP/CLN8/ZIC1/KCND2/CLN6/KCNJ10/PREX2/NCOA2/GRM5/GIT1/TBCE/PUM1/SCN1A/NTAN1/TAL1/CACNB4/FIG4/LRRTM1/IDO1/SPTBN4/PEX13/TUBA1A/NCOR1/GAD1/GRM6/FOXA2/CHRNB2/HOXB8/CHD7/ASTN1/LMX1A/PDE1B/ABAT/DLG4/GLRA1/ANKFN1/GRIN2D/DMBX1/DAB1/WDR47/SOD2/RCAN1/GLRB/GPR52/GRIA1/OPRK1/DPP4/TMBIM4/CALB1/APBA2/DRD1/HOXD9/CTNS/CXCL12/CWH43/RNF170/AGTPBP1/ANKH/SPG11/SNCA/SNAP25/GHSR/CSTB/PLN/C1QL1/CRBN/ABCA2/ZFHX3/OPRL1/CEND1/UBA6/ARCN1/OXR1/NAV2/MTOR/STRN/ATP1A2/PPP1R1B/APP",117
"GO:0007611","learning or memory","145/6229","282/18986",0.514184397163121,1.56723470292808,6.70594965155168,6.2254851087041e-11,7.94122880466295e-08,6.19009814071778e-08,"CPEB3/PLCB1/MAP1A/CLSTN2/MAPT/TMOD2/PPP3CB/ATP8A1/PTEN/CASP3/NF1/JPH3/AFF2/DDHD2/SHISA7/MDK/TNR/SLC2A4/SYNJ1/CUX2/SLC1A1/SORCS3/PDE8B/CRTC1/ATAD1/NOG/MAPK1/RASGRF1/NETO1/EN1/EIF4EBP2/BTBD9/IFT20/SLC8A2/SHANK2/CNTNAP2/RELN/PAFAH1B1/FGF13/THRA/JPH4/EP300/TSC1/PTN/SLC8A3/NTRK2/MECP2/PRRT1/SLC6A1/HTT/ELAVL4/NRXN1/SHANK1/HTR2A/VPS13B/PRKCZ/PIAS1/MAPK8IP2/SLC24A2/CLN8/SYNGAP1/GRIN1/NRXN2/ABCC8/AGER/DNAH11/PPP1R9B/GRM5/GRIN2A/GIT1/LRRN4/ATXN1L/KCNK4/PRNP/SYT11/NTAN1/DRD5/SCN2A/CSMD1/CRHBP/ITGA5/TUBA1A/SHANK3/ATXN1/CHRNB2/MME/LMX1A/PDE1B/NDRG4/FOSL1/TTBK1/LRRC66/DLG4/B3GAT1/STRA6/RCAN1/FEN1/GLP1R/KAT2B/ITGA3/CLN3/ARF4/SLC12A5/GRIA1/OPRK1/TACR1/GALR3/CALB1/SLC11A2/MEF2C/FZD9/GRIN2B/DRD1/EPHB2/B2M/CTNS/PRKCG/KRAS/SPG11/HRH1/SNAP25/GHSR/NRXN3/PLN/FYN/KIT/GABRA5/C1QL1/MEIS2/NEUROG1/PJA2/BRAF/OPRL1/ITGB1/EPM2A/UBA6/S100B/KCNK2/ATP1A2/EHMT2/PPP1R1B/APP/SRC/HMGCR/ABL1",145
"GO:0007612","learning","91/6229","159/18986",0.572327044025157,1.74445356523706,6.58697178844467,1.85511920751709e-10,1.97199171759067e-07,1.53714526615846e-07,"PLCB1/MAP1A/CLSTN2/PPP3CB/ATP8A1/NF1/JPH3/DDHD2/TNR/SYNJ1/SLC1A1/SORCS3/PDE8B/ATAD1/NOG/NETO1/EN1/IFT20/SLC8A2/SHANK2/CNTNAP2/RELN/FGF13/JPH4/TSC1/PTN/SLC8A3/NTRK2/MECP2/SLC6A1/HTT/ELAVL4/NRXN1/SHANK1/HTR2A/PIAS1/MAPK8IP2/SLC24A2/CLN8/SYNGAP1/GRIN1/NRXN2/ABCC8/PPP1R9B/GRM5/GRIN2A/GIT1/LRRN4/ATXN1L/SYT11/DRD5/CSMD1/TUBA1A/SHANK3/ATXN1/CHRNB2/PDE1B/NDRG4/FOSL1/DLG4/B3GAT1/STRA6/CLN3/ARF4/SLC12A5/GRIA1/OPRK1/TACR1/DRD1/EPHB2/CTNS/KRAS/HRH1/SNAP25/NRXN3/PLN/FYN/KIT/GABRA5/C1QL1/MEIS2/BRAF/OPRL1/ITGB1/EPM2A/UBA6/ATP1A2/PPP1R1B/APP/HMGCR/ABL1",91
"GO:0060078","regulation of postsynaptic membrane potential","87/6229","151/18986",0.576158940397351,1.75613319030087,6.51844719215817,2.8941876259536e-10,2.63701838261886e-07,2.05552603870359e-07,"GLRA3/GRM1/CBLN1/PTEN/GRID1/GABRG1/CUX2/KCTD16/GRIK4/GRIN3A/GABBR1/NETO1/CHRNA4/SYNE1/SLC8A2/RGS7BP/RELN/RAB3GAP1/TBC1D24/GABRA3/PPP3CA/STX1B/SLC8A3/RIMS2/MECP2/GRIA2/NRXN1/SHANK1/NLGN2/PRKCZ/GRID2/MAPK8IP2/NPFF/P2RX7/KCND2/GRIN1/GABRD/GABRB1/GRIA4/GRM5/GABRG2/GRIN2A/GRIA3/P2RX6/P2RX5/CHRM1/GRIN2C/CELF4/GRIK2/HCN1/TMEM25/CHRNA5/SHANK3/CHRNA9/CHRNB2/MPP2/ABAT/CHRNA10/DLG4/GLRA1/GRIN2D/RIMS1/GLRB/HCRT/NLGN1/KCNA2/GRIA1/KCNK1/HTR3B/SLC1A7/MEF2C/GRIN2B/DMPK/GABRA1/SNCA/ADORA1/CHRNA2/P2RX4/ADRB2/CHRNA1/GSK3B/GABRA6/GABRA5/GABRB2/CHRNB1/GRIK1/APP",87
"GO:0007059","chromosome segregation","201/6229","429/18986",0.468531468531469,1.42808451782605,6.26678033547944,7.03692362943344e-10,5.61018736356581e-07,4.37307767129133e-07,"DYNC1H1/SIRT1/PTEN/SMC4/DSN1/PLK1/PSMC3IP/MND1/CLASP2/PSRC1/CENPH/ANKRD53/KNTC1/SPDYA/NUP37/ITGB3BP/MSH5/CENPN/TUBGCP4/NUMA1/KIF2A/MMS19/KIF4B/AURKA/TACC3/HDAC3/TUBG1/CENPL/HAUS8/MAD2L1/HAUS1/CCNB1/TRIP13/SKA1/PTTG1/HECW2/BCL7A/NUF2/CENPP/BOD1/PRICKLE1/HAUS5/CENPK/DIAPH3/DDB1/APC/STIL/BRCA1/CENPM/CHEK2/XRCC3/SUN1/BEX4/PLSCR1/MAPRE2/FANCD2/SPAG5/CLASP1/CHFR/CCDC61/CDC6/BCL7C/KIF23/KIF4A/CDCA8/PRC1/CENPE/ANAPC7/OIP5/ECT2/SMARCA2/FBXO5/ACTL6A/CCNE2/ARID1B/CDT1/KIF18A/CENPW/LATS1/NR3C1/GEN1/CEP97/SMC3/RIOK3/CDC20/TUBGCP2/CCNE1/KIF2C/SMARCC2/CDCA2/NCAPG2/PUM1/ACTL6B/ZWILCH/SKA3/NDE1/UVRAG/CDK1/NCAPH/KIF14/SYCE1/AURKC/SYCE1L/BCL7B/MYBL2/TPX2/BRIP1/FMN2/CDCA5/ESPL1/KIF15/NCOR1/HJURP/NUSAP1/NIPBL/CENPI/CENPO/RACGAP1/NEK2/DMC1/ESCO2/FAM83D/TOP2B/SPC24/TLK2/ANAPC11/CENPF/KAT2B/KIFC1/BIRC5/SASS6/UBE2I/HAUS7/TNKS/NCAPG/CSNK2A1/USP9X/BUB1/UBE2C/NEK7/TTN/AURKB/TTK/MLH1/PRAP1/RAN/ANKRD31/NEK6/PINX1/NUP43/ATM/PUM2/CCNB2/NSMCE2/SIRT7/ASPM/INO80/NDC80/MIS12/CHMP1B/PHF10/TUBB/ZWINT/SYCP2L/TUBB8/SPC25/ACTB/CENPQ/MAPRE3/MAD2L2/MAEL/AKAP8/CHMP2A/KIF11/MAP9/DLGAP5/RAD18/FLNA/REC8/RCC1/BUB1B/CDC42/SAC3D1/ACTR3/ZNF207/PBRM1/CTCF/KIF18B/RAD21/KAT5/KIF22/TTL/TPR/EHMT2/VPS4B/CHMP7/GOLGA2/TUBG2/IK/RCC2/BCCIP",201
"GO:0007264","small GTPase-mediated signal transduction","224/6229","491/18986",0.456211812627291,1.39053419080779,6.12650551077873,1.49697958410776e-09,9.73912240438723e-07,7.59153589079581e-07,"NET1/GBF1/RAPGEF2/DOK6/ARHGAP12/ARHGAP32/ARRB1/OPHN1/RAP2A/SRGAP3/NF1/SHOC2/ELMO1/GARNL3/NKIRAS1/BCR/RASL10A/PIK3CB/FAM13A/RASSF1/RAB18/RALGAPA1/ITSN1/MADD/RASGRF1/RAB30/ARL3/CDK2/CCNA2/ARHGAP31/RASGEF1C/ABL2/RELN/RASGEF1B/ARHGAP24/WASF1/PSD/RAPGEF4/ADCYAP1R1/ARHGEF9/CYTH1/MYO9A/RUNDC3A/SOS2/TIAM1/DOK1/KBTBD7/TAX1BP3/GDI2/DENND4A/RIN2/ARHGDIG/MCF2/ARHGAP28/MAPKAPK5/SPRY1/ARHGEF12/DOCK3/LRP4/MAPRE2/ARFGEF2/ABR/CCDC125/RAP1B/KSR2/RHOJ/KBTBD6/ARHGAP21/NISCH/LAT/EPO/DOCK4/SYNGAP1/ECT2/PSD3/RAPGEF1/RALGPS2/RASGRF2/RND1/DIRAS3/SYDE1/AMOT/PDPN/SPRY4/CRKL/SYNPO2L/TNK2/RAB6C/ARHGAP5/CDH13/PREX2/KALRN/IGF1/RAP2B/ARHGAP11A/KNDC1/GIT1/RAB9B/ARHGEF7/SCAI/ARHGEF1/CBL/MMD2/CTNNAL1/VAV3/ADRA2A/ARHGEF17/KIF14/DOCK9/TRIM67/GRAP/RAB38/FOXM1/TNS3/ARHGEF19/IQGAP3/RAB33A/DOCK1/CELSR1/ARHGAP18/SYDE2/DOCK10/DAB2IP/RFXANK/DOK3/RALGPS1/KSR1/FBP1/RAB33B/TGFB2/RACGAP1/CDC42SE2/SPRY2/COL1A2/IQSEC2/SOS1/RHOBTB2/RGL1/MYO9B/RHOC/ABI2/EPS8L2/RHOT2/DAB1/EPS8L1/ITGA3/CCDC88A/DNMBP/RAP2C/RAC2/STARD8/ARHGAP15/MCF2L/IQSEC3/TEK/F11R/ARHGEF11/ARFGEF1/FGD4/PLEKHG3/DOCK6/EPHB2/GPR4/MAP4K4/RGL2/G3BP2/RGS19/CDC42EP5/RHOD/RHOQ/KRAS/BCL6/ERBB2/HACE1/NCKAP1/ARHGAP9/RAPGEF6/RAB12/NUCB1/KANK1/SWAP70/NRP1/DOK2/PLEKHG1/SEMA4D/ARHGAP11B/LPAR2/DENND4C/NOTCH2/TP53/DENND4B/RHOH/CDC42/RAPGEF5/RTKN/ARHGAP22/ARHGEF4/TSC2/USP8/ITGB1/CDC42EP3/GRB2/COL3A1/CHML/ROCK1/RAPGEFL1/KANK2/RND2/ARHGAP19/RAP1A/NGFR/CDKN1A/ARHGAP4/RUFY1/FGF2/GDI1/NRAS/FLOT1/RASA4/PLXNB1/SRC/ABL1/AKAP13/RALGDS",224
"GO:0007215","glutamate receptor signaling pathway","40/6229","55/18986",0.727272727272727,2.21672820677476,6.3143453582476,1.52698689313064e-09,9.73912240438723e-07,7.59153589079581e-07,"PLCB1/KCNB1/GRM1/GRID1/SLC1A1/SSTR1/GRIK4/GRIN3A/GRIA2/NRXN1/CDK5R1/GRID2/GRIN1/GNAQ/GRIA4/GRM5/GRIN2A/GRM4/GRIA3/PRNP/GRIN2C/GRIK2/CPEB4/SHANK3/GRM6/DLG4/NECAB2/GRIN2D/CLN3/GRIA1/MEF2C/GRM3/GRIN2B/PLP1/HOMER3/CX3CL1/ADRB2/FYN/GRIK1/APP",40
