Term,High Survival,Low Survival
AMPK signaling pathway,0.09623012078537799,-0.07919930920995742
NR1H2 And NR1H3-mediated Signaling R-HSA-9024446,0.13659503747414634,-0.09438576939656551
Wnt signaling pathway,0.10007882057931472,-0.06544397328681596
Collagen Formation R-HSA-1474290,-0.20228341181120052,0.11363999977187605
Energy Dependent Regulation Of mTOR By LKB1-AMPK R-HSA-380972,0.12231608975225873,-0.11120171420151029
InlB-mediated Entry Of Listeria Monocytogenes Into Host Cell R-HSA-8875360,0.12202264937817683,-0.10685864897352486
Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,-0.20576276925285977,0.10286988736618427
Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090,-0.19081188701818486,0.116420016750274
Listeria Monocytogenes Entry Into Host Cells R-HSA-8876384,0.10764393289064288,-0.09799677670875089
mTOR signaling pathway,0.0681232784860443,-0.06462825902524628
Choline metabolism in cancer,0.09435898398484148,-0.05749192458617652
Long-term depression,0.15650683049581246,-0.08896073718131371
Signaling By NODAL R-HSA-1181150,0.15297468272356265,-0.10450804236351298
ECM-receptor interaction,-0.17009129060731532,0.09361412878176086
Hyaluronan Metabolism R-HSA-2142845,-0.19603867448170043,0.09986862688783486
IRS-related Events Triggered By IGF1R R-HSA-2428928,0.1296461853650511,-0.055384406120891294
Signaling By NTRK2 (TRKB) R-HSA-9006115,0.1369605344412168,-0.0844969270330487
Extracellular Matrix Organization R-HSA-1474244,-0.13422522452579566,0.08817278144962866
Negative Regulation Of MET Activity R-HSA-6807004,0.10933940350296877,-0.09125209227152768
Laminin Interactions R-HSA-3000157,-0.2444691981242787,0.13393812016713777
Degradation Of Extracellular Matrix R-HSA-1474228,-0.11341154551581835,0.080452239702416
Collagen Degradation R-HSA-1442490,-0.18014438872184735,0.10801052487339961
Thyroid hormone signaling pathway,0.09728218878175393,-0.0652688350728123
Netrin-1 Signaling R-HSA-373752,0.13939515251046258,-0.0908001015052958
Glycosaminoglycan degradation,-0.17441075127046116,0.11859895711387702
IRS-mediated Signaling R-HSA-112399,0.12111785775500941,-0.051091390870740355
NOTCH1 Intracellular Domain Regulates Transcription R-HSA-2122947,0.08997519923520747,-0.08949708974059094
RHOU GTPase Cycle R-HSA-9013420,0.10466405981429378,-0.08768116638296793
IGF1R Signaling Cascade R-HSA-2428924,0.11703172665250233,-0.04874327021142245
Collagen Chain Trimerization R-HSA-8948216,-0.17749154970508152,0.08563997227383614
Signaling By Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) R-HSA-2404192,0.11474973742657965,-0.04735044408042253
PI3K Cascade R-HSA-109704,0.12684578277873398,-0.05289678444303254
Constitutive Signaling By AKT1 E17K In Cancer R-HSA-5674400,0.08125133580336782,-0.10160285055426321
NOTCH4 Intracellular Domain Regulates Transcription R-HSA-9013695,0.15008880175681735,-0.13135954391502877
