covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
PC1,0.0347518457549014,1.0353627472569444,0.009634708395824634,0.01586816429753944,0.05363552721226336,1.0159947321971659,1.0550999768367084,0.0,3.606943181587282,0.00030982546993941514,11.656256630370725
PC2,0.1584195754564161,1.1716576904009075,0.01745236097894409,0.12421357649249348,0.19262557442033873,1.132257668798594,1.212428744185242,0.0,9.077257549711815,1.113449077454033e-19,62.96159822352579
PC3,0.12825410073738255,1.136841838348242,0.022188094376047095,0.08476623487475453,0.17174196660001056,1.0884625923617166,1.187371412199638,0.0,5.780311664612253,7.456236604306372e-09,26.998905213086946
PC4,0.014321604660847215,1.0144246501789451,0.024340519303521695,-0.03338493653905726,0.0620281458607517,0.9671661903183666,1.0639922912854674,0.0,0.5883853373159176,0.5562736773171357,0.8461332555236156
PC5,-0.0015362910013548105,0.9984648884895745,0.002448073575125989,-0.0063344270401059595,0.003261845037396338,0.9936855931484113,1.0032671706427791,0.0,-0.6275509923249533,0.5302981216827095,0.9151244564291435
PC6,-0.010353049680922995,0.9897003586659283,0.0281937901055462,-0.06561186287547527,0.044905763513629286,0.9364942819568453,1.0459292905630406,0.0,-0.36721028432734104,0.7134621686045655,0.4870911621920564
PC7,-0.03171234143712901,0.9687852213652965,0.03291956023538335,-0.09623349388537727,0.03280881101111926,0.9082519200383955,1.033352954647352,0.0,-0.9633282221991298,0.3353828345873464,1.576119243461075
PC8,0.045103184426470086,1.0461357992622478,0.029606973915846612,-0.012925418139806084,0.10313178699274625,0.9871577563366185,1.1086375034517522,0.0,1.5233973101968856,0.12765933456636333,2.9696290621150525
PC9,-0.024061908005264913,0.9762252717278678,0.03520065535466651,-0.09305392473261828,0.04493010872208845,0.911144365755069,1.0459547542396108,0.0,-0.683564205348667,0.4942503940612579,1.016685978685037
PC10,0.08104670888787377,1.084421547508297,0.03169174658794344,0.018932026968334487,0.14316139080741305,1.0191123741053596,1.153916018076642,0.0,2.5573443439910175,0.010547475063677828,6.5669585130305315
PC11,0.05699675786193019,1.0586523780927584,0.03830905659085108,-0.018087613337844713,0.1320811290617051,0.9820749857214264,1.141200900069927,0.0,1.4878141863598406,0.13679990337590625,2.8698608836631867
PC12,0.02259636574104648,1.0228535974602084,0.04020030117765365,-0.05619477673481779,0.10138750821691075,0.9453549847996214,1.1067054161237115,0.0,0.5620944390736864,0.5740516769548518,0.800747478664693
PC13,-0.01042342996342614,0.9896307057262175,0.010572758532288182,-0.03114565590394954,0.010298795977097258,0.9693343735185967,1.0103520111034028,0.0,-0.9858761014539388,0.32419391559347627,1.625071079989617
PC14,0.028903265200496204,1.0293250181097076,0.03922942481000527,-0.047984994561336175,0.10579152496232858,0.9531480893753911,1.1115901135581763,0.0,0.7367751462194411,0.46125909976016166,1.1163507218186957
PC15,-0.12441542886493918,0.883012935614939,0.048292911845382765,-0.21906779679045718,-0.0297630609394212,0.8032672573655852,0.9706754972441851,0.0,-2.576266870452427,0.009987352919026048,6.645681932634407
