,mirna,low_medium_p_value,low_high_p_value,medium_high_p_value
0,hsa-mir-10b,0.005166979286613414,1.427604702502229e-10,6.78449050088014e-06
1,hsa-mir-183,0.022415602040990877,0.14811584115312995,0.9055271375023545
2,hsa-mir-196b,0.2488630597394269,2.0172477661419266e-10,8.635285785145891e-12
3,hsa-mir-10a,0.1544705685571297,1.1044000964272867e-07,1.1122910088684596e-13
4,hsa-mir-204,0.10127028217199888,7.809345957854896e-06,0.00670925200462523
5,hsa-mir-452,0.006747083543276182,0.01196301064673497,0.6809025935502164
6,hsa-mir-144,0.3280607061582552,0.012370265886193598,0.12126438836350342
7,hsa-mir-96,0.2911523201109473,0.036533595143184466,0.18495831381677874
8,hsa-mir-184,0.004359821646376147,0.6064450915220101,0.006628512582746852
9,hsa-mir-887,0.038381163477468644,3.3168919255980337e-12,1.9365063315458527e-08
